=== PALABRAS ORDENADAS ALFABÉTICAMENTE ===
Archivo fuente: 480_clean.txt
Total de palabras únicas: 102
Total de palabras: 179
--------------------------------------------------

aacute                         (7 veces)
acu                            (1 veces)
adem                           (1 veces)
agua                           (1 veces)
ambiental                      (1 veces)
ambiente                       (3 veces)
as                             (1 veces)
asegurar                       (1 veces)
azufre                         (1 veces)
busca                          (1 veces)
cabo                           (1 veces)
capital                        (1 veces)
clauss                         (1 veces)
comercializadora               (1 veces)
comienzos                      (1 veces)
compa                          (1 veces)
cuyo                           (1 veces)
de                             (19 veces)
del                            (1 veces)
dos                            (1 veces)
eacute                         (2 veces)
efluentes                      (2 veces)
el                             (5 veces)
eliminar                       (1 veces)
emisiones                      (1 veces)
empresa                        (2 veces)
en                             (4 veces)
es                             (2 veces)
estima                         (1 veces)
feros                          (1 veces)
fin                            (1 veces)
funcionamiento                 (1 veces)
fundamentales                  (1 veces)
gases                          (1 veces)
ha                             (1 veces)
habr                           (1 veces)
haci                           (1 veces)
huincul                        (1 veces)
iacute                         (5 veces)
impacto                        (1 veces)
implement                      (1 veces)
instalaciones                  (1 veces)
integridad                     (1 veces)
inversiones                    (1 veces)
la                             (6 veces)
las                            (6 veces)
lleven                         (1 veces)
los                            (2 veces)
luj                            (1 veces)
medio                          (3 veces)
metas                          (1 veces)
modo                           (1 veces)
naftas                         (1 veces)
napas                          (1 veces)
ndo                            (1 veces)
nea                            (1 veces)
neutralizar                    (1 veces)
nica                           (1 veces)
no                             (1 veces)
ntilde                         (1 veces)
nuevas                         (1 veces)
oacute                         (2 veces)
operaciones                    (2 veces)
oportunidades                  (1 veces)
para                           (6 veces)
perjudicial                    (1 veces)
permanentemente                (1 veces)
plantas                        (1 veces)
plata                          (1 veces)
plaza                          (1 veces)
plomo                          (1 veces)
poliductos                     (1 veces)
posibilidades                  (1 veces)
programa                       (1 veces)
protecci                       (1 veces)
proteger                       (1 veces)
puso                           (1 veces)
que                            (4 veces)
quidos                         (1 veces)
realizado                      (1 veces)
reducir                        (1 veces)
refinadora                     (1 veces)
refiner                        (2 veces)
se                             (3 veces)
seguir                         (1 veces)
seguro                         (1 veces)
significativas                 (1 veces)
sin                            (1 veces)
subterr                        (1 veces)
sus                            (3 veces)
tambi                          (1 veces)
terminar                       (2 veces)
tipo                           (1 veces)
todas                          (1 veces)
tratamiento                    (3 veces)
uacute                         (1 veces)
un                             (2 veces)
una                            (2 veces)
unidad                         (1 veces)
unidades                       (1 veces)
vende                          (1 veces)
ypf                            (4 veces)
