=== PALABRAS ORDENADAS ALFABÉTICAMENTE ===
Archivo fuente: 462_clean.txt
Total de palabras únicas: 1002
Total de palabras: 3975
--------------------------------------------------

aacute                         (58 veces)
abril                          (3 veces)
absorber                       (1 veces)
acatadas                       (1 veces)
acci                           (2 veces)
accionaria                     (1 veces)
accionarias                    (1 veces)
accionario                     (1 veces)
acciones                       (9 veces)
accionista                     (1 veces)
accionistas                    (5 veces)
accounting                     (1 veces)
acelerada                      (1 veces)
aceptado                       (2 veces)
acord                          (1 veces)
acquisition                    (2 veces)
actividad                      (1 veces)
actividades                    (3 veces)
activo                         (3 veces)
activos                        (11 veces)
actual                         (1 veces)
acuerdo                        (11 veces)
acuerdos                       (4 veces)
acumulado                      (1 veces)
adherente                      (2 veces)
adherentes                     (1 veces)
adherirse                      (1 veces)
adicional                      (2 veces)
adicionalmente                 (7 veces)
administraci                   (3 veces)
adquiri                        (8 veces)
adquirida                      (1 veces)
adquiridas                     (1 veces)
adquiridos                     (1 veces)
adquirir                       (1 veces)
adquisici                      (3 veces)
adversos                       (2 veces)
adyacentes                     (1 veces)
afectaron                      (1 veces)
agip                           (1 veces)
agregado                       (1 veces)
agrupan                        (1 veces)
ahora                          (1 veces)
ahorro                         (1 veces)
ajuste                         (1 veces)
ajustes                        (2 veces)
al                             (34 veces)
alcance                        (1 veces)
alcanz                         (1 veces)
alcanza                        (1 veces)
alguno                         (1 veces)
algunos                        (2 veces)
alta                           (1 veces)
am                             (2 veces)
amoco                          (13 veces)
amp                            (1 veces)
an                             (8 veces)
and                            (1 veces)
andina                         (3 veces)
anexo                          (1 veces)
anterior                       (1 veces)
anteriores                     (2 veces)
anteriormente                  (2 veces)
antes                          (2 veces)
anticip                        (1 veces)
anticipos                      (1 veces)
antig                          (1 veces)
anual                          (2 veces)
apelaciones                    (1 veces)
apeladas                       (1 veces)
aplicable                      (1 veces)
aplicacion                     (1 veces)
apoderados                     (1 veces)
aportados                      (2 veces)
aportar                        (2 veces)
aporte                         (1 veces)
aportes                        (2 veces)
aprob                          (1 veces)
apropiada                      (1 veces)
aproximadamente                (3 veces)
aquellos                       (1 veces)
argentina                      (9 veces)
argentino                      (1 veces)
arriba                         (1 veces)
as                             (8 veces)
asamblea                       (2 veces)
ascendi                        (3 veces)
ascendieron                    (1 veces)
asciende                       (1 veces)
asesoramiento                  (1 veces)
asesores                       (2 veces)
asignados                      (4 veces)
asignarse                      (1 veces)
asimismo                       (1 veces)
asistencia                     (1 veces)
asistido                       (1 veces)
asoci                          (1 veces)
asociadas                      (1 veces)
asociados                      (1 veces)
association                    (1 veces)
asumi                          (1 veces)
asumidas                       (1 veces)
asumido                        (3 veces)
asumidos                       (1 veces)
asunci                         (1 veces)
atenci                         (3 veces)
auditados                      (1 veces)
austral                        (2 veces)
autoridad                      (1 veces)
autorizada                     (1 veces)
auxiliares                     (1 veces)
bah                            (3 veces)
baja                           (1 veces)
bajo                           (3 veces)
bancos                         (1 veces)
bank                           (1 veces)
barriles                       (1 veces)
basa                           (1 veces)
beneficio                      (1 veces)
beneficios                     (7 veces)
bienes                         (12 veces)
blanca                         (3 veces)
blica                          (2 veces)
blicas                         (1 veces)
board                          (1 veces)
bocones                        (3 veces)
bonificaci                     (2 veces)
bonos                          (3 veces)
brasil                         (1 veces)
bridas                         (1 veces)
british                        (1 veces)
brutas                         (1 veces)
cabo                           (3 veces)
cada                           (6 veces)
caducan                        (1 veces)
caja                           (3 veces)
calculados                     (1 veces)
cambios                        (1 veces)
cancelaci                      (1 veces)
cancelado                      (1 veces)
cancelados                     (2 veces)
cantidad                       (1 veces)
cantidades                     (1 veces)
capital                        (3 veces)
car                            (1 veces)
caracter                       (1 veces)
cargas                         (2 veces)
cargo                          (6 veces)
caso                           (3 veces)
casos                          (1 veces)
categor                        (1 veces)
causa                          (1 veces)
cautelares                     (2 veces)
